ID,University,Administration_dept,Location,Level
1,北京大学,教育部,北京市,本科
2597,中国人民大学,教育部,北京市,本科
2598,清华大学,教育部,北京市,本科
2599,北京交通大学,教育部,北京市,本科
2600,北京工业大学,北京市,北京市,本科
2601,北京航空航天大学,工业和信息化部,北京市,本科
2602,北京理工大学,工业和信息化部,北京市,本科
2603,北京科技大学,教育部,北京市,本科
2604,北方工业大学,北京市,北京市,本科
2605,北京化工大学,教育部,北京市,本科
2606,北京工商大学,北京市,北京市,本科
2607,北京服装学院,北京市,北京市,本科
2608,北京邮电大学,教育部,北京市,本科
2609,北京印刷学院,北京市,北京市,本科
2610,北京建筑大学,北京市,北京市,本科
2611,北京石油化工学院,北京市,北京市,本科
2612,北京电子科技学院,中央办公厅,北京市,本科
2613,中国农业大学,教育部,北京市,本科
2614,北京农学院,北京市,北京市,本科
2615,北京林业大学,教育部,北京市,本科
2616,北京协和医学院,国家卫生和计划生育委员会,北京市,本科
2617,首都医科大学,北京市,北京市,本科
2618,北京中医药大学,教育部,北京市,本科
2619,北京师范大学,教育部,北京市,本科
2620,首都师范大学,北京市,北京市,本科
2621,首都体育学院,北京市,北京市,本科
2622,北京外国语大学,教育部,北京市,本科
2623,北京第二外国语学院,北京市,北京市,本科
2624,北京语言大学,教育部,北京市,本科
2625,中国传媒大学,教育部,北京市,本科
2626,中央财经大学,教育部,北京市,本科
2627,对外经济贸易大学,教育部,北京市,本科
2628,北京物资学院,北京市,北京市,本科
2629,首都经济贸易大学,北京市,北京市,本科
2630,外交学院,外交部,北京市,本科
2631,中国人民公安大学,公安部,北京市,本科
2632,国际关系学院,教育部,北京市,本科
2633,北京体育大学,国家体育总局,北京市,本科
2634,中央音乐学院,教育部,北京市,本科
2635,中国音乐学院,北京市,北京市,本科
2636,中央美术学院,教育部,北京市,本科
2637,中央戏剧学院,教育部,北京市,本科
2638,中国戏曲学院,北京市,北京市,本科
2639,北京电影学院,北京市,北京市,本科
2640,北京舞蹈学院,北京市,北京市,本科
2641,中央民族大学,国家民委,北京市,本科
2642,中国政法大学,教育部,北京市,本科
2643,华北电力大学,教育部,北京市,本科
2644,中华女子学院,中华妇女联合会,北京市,本科
2645,北京信息科技大学,北京市,北京市,本科
2646,中国矿业大学（北京）,教育部,北京市,本科
2647,中国石油大学（北京）,教育部,北京市,本科
2648,中国地质大学（北京）,教育部,北京市,本科
2649,北京联合大学,北京市,北京市,本科
2650,北京城市学院,北京市教委,北京市,本科
2651,中国青年政治学院,共青团中央,北京市,本科
2652,首钢工学院,北京市,北京市,本科
2653,中国劳动关系学院,中华全国总工会,北京市,本科
2654,北京吉利学院,北京市教委,北京市,本科
2655,首都师范大学科德学院,北京市教委,北京市,本科
2656,北京工商大学嘉华学院,北京市教委,北京市,本科
2657,北京邮电大学世纪学院,北京市教委,北京市,本科
2658,北京工业大学耿丹学院,北京市教委,北京市,本科
2659,北京警察学院,北京市,北京市,本科
2660,北京第二外国语学院中瑞酒店管理学院,北京市教委,北京市,本科
2661,中国科学院大学,,北京市,本科
2662,北京工业职业技术学院,北京市,北京市,专科
2663,北京信息职业技术学院,北京市,北京市,专科
2664,北京电子科技职业学院,北京市,北京市,专科
2665,北京京北职业技术学院,北京市,北京市,专科
2666,北京交通职业技术学院,北京市,北京市,专科
2667,北京青年政治学院,北京市,北京市,专科
2668,北京农业职业学院,北京市,北京市,专科
2669,北京政法职业学院,北京市,北京市,专科
2670,北京财贸职业学院,北京市,北京市,专科
2671,北京北大方正软件职业技术学院,北京市教委,北京市,专科
2672,北京经贸职业学院,北京市教委,北京市,专科
2673,北京经济技术职业学院,北京市教委,北京市,专科
2674,北京戏曲艺术职业学院,北京市,北京市,专科
2675,北京汇佳职业学院,北京市教委,北京市,专科
2676,北京科技经营管理学院,北京市教委,北京市,专科
2677,北京科技职业学院,北京市教委,北京市,专科
2678,北京培黎职业学院,北京市教委,北京市,专科
2679,北京经济管理职业学院,北京市,北京市,专科
2680,北京劳动保障职业学院,北京市,北京市,专科
2681,北京社会管理职业学院,北京市,北京市,专科
2682,北京艺术传媒职业学院,北京市教委,北京市,专科
2683,北京体育职业学院,北京市,北京市,专科
2684,北京交通运输职业学院,北京市,北京市,专科
2685,北京卫生职业学院,北京市,北京市,专科
2686,北京网络职业学院,北京市教委,北京市,专科
2687,南开大学,教育部,天津市,本科
2688,天津大学,教育部,天津市,本科
2689,天津科技大学,天津市,天津市,本科
2690,天津工业大学,天津市,天津市,本科
2691,中国民航大学,交通运输部,天津市,本科
2692,天津理工大学,天津市,天津市,本科
2693,天津农学院,天津市,天津市,本科
2694,天津医科大学,天津市,天津市,本科
2695,天津中医药大学,天津市,天津市,本科
2696,天津师范大学,天津市,天津市,本科
2697,天津职业技术师范大学,天津市,天津市,本科
2698,天津外国语大学,天津市,天津市,本科
2699,天津商业大学,天津市,天津市,本科
2700,天津财经大学,天津市,天津市,本科
2701,天津体育学院,天津市,天津市,本科
2702,天津音乐学院,天津市,天津市,本科
2703,天津美术学院,天津市,天津市,本科
2704,天津城建大学,天津市,天津市,本科
2705,天津天狮学院,天津市教委,天津市,本科
2706,天津中德应用技术大学,天津市,天津市,本科
2707,天津外国语大学滨海外事学院,天津市教委,天津市,本科
2708,天津体育学院运动与文化艺术学院,天津市教委,天津市,本科
2709,天津商业大学宝德学院,天津市教委,天津市,本科
2710,天津医科大学临床医学院,天津市教委,天津市,本科
2711,南开大学滨海学院,天津市教委,天津市,本科
2712,天津师范大学津沽学院,天津市教委,天津市,本科
2713,天津理工大学中环信息学院,天津市教委,天津市,本科
2714,北京科技大学天津学院,天津市教委,天津市,本科
2715,天津大学仁爱学院,天津市教委,天津市,本科
2716,天津财经大学珠江学院,天津市教委,天津市,本科
2717,天津市职业大学,天津市,天津市,专科
2718,天津滨海职业学院,天津市,天津市,专科
2719,天津工程职业技术学院,天津市,天津市,专科
2720,天津青年职业学院,天津市,天津市,专科
2721,天津渤海职业技术学院,天津市,天津市,专科
2722,天津电子信息职业技术学院,天津市,天津市,专科
2723,天津机电职业技术学院,天津市,天津市,专科
2724,天津现代职业技术学院,天津市,天津市,专科
2725,天津公安警官职业学院,天津市,天津市,专科
2726,天津轻工职业技术学院,天津市,天津市,专科
2727,天津商务职业学院,天津市,天津市,专科
2728,天津国土资源和房屋职业学院,天津市,天津市,专科
